x6,x06,x16,x26,x36,x46
Total,0.015,0.32,0.14,0.315,0.21
x01,1,0.687,0.714,0.873,0.809
x11,0,0.031,0.036,0,0
x21,0,0.143,0.036,0,0.048
x31,0,0.143,0.214,0.206,0.143
x02,0,0.281,0.214,0.317,0.262
x12,0.333,0.296,0.392,0.317,0.309
x22,0,0,0,0.079,0
x32,0.666,0.234,0.142,0.095,0.167
x42,0,0.187,0.25,0.19,0.262
x03,0.173,0.136,0.381,0.146,0.143
x13,0.693,0.682,0.571,0.646,0.643
x23,0.133,0.182,0.041,0.207,0.214
x04,1,0.625,0.786,0.746,0.738
x14,0,0.187,0.107,0.063,0.048
x24,0,0,0,0.016,0.024
x34,0,0.187,0.107,0.175,0.19
